one= 0 (-nan) five= 0 (-nan) ten= 0 (-nan) distintos= 0 (-nan)
one= 1 (0.5) five= 1 (0.5) ten= 1 (0.5) distintos= 0 (0)
one= 1 (0.5) five= 1 (0.5) ten= 1 (0.5) distintos= 0 (0)
one= 1 (1) five= 1 (1) ten= 1 (1) distintos= 0 (0)
one= 1 (1) five= 1 (1) ten= 1 (1) distintos= 0 (0)
one= 1 (0.5) five= 1 (0.5) ten= 1 (0.5) distintos= 0 (0)
one= 1 (1) five= 1 (1) ten= 1 (1) distintos= 0 (0)
one= 1 (1) five= 1 (1) ten= 1 (1) distintos= 0 (0)
one= 1 (1) five= 1 (1) ten= 1 (1) distintos= 0 (0)
one= 1 (1) five= 1 (1) ten= 1 (1) distintos= 0 (0)
one= 11756 (0.80493) five= 12019 (0.822937) ten= 12283 (0.841013) distintos= 318 (0.0217734)
one= 11684 (0.802859) five= 11962 (0.821961) ten= 12207 (0.838796) distintos= 319 (0.0219199)
one= 11752 (0.805097) five= 12006 (0.822498) ten= 12247 (0.839008) distintos= 320 (0.0219223)
one= 11793 (0.808515) five= 12047 (0.825929) ten= 12272 (0.841355) distintos= 294 (0.0201563)
one= 11727 (0.805592) five= 12003 (0.824552) ten= 12239 (0.840764) distintos= 333 (0.0228756)
one= 11739 (0.805918) five= 12008 (0.824386) ten= 12244 (0.840588) distintos= 327 (0.0224495)
one= 11725 (0.805012) five= 11997 (0.823687) ten= 12229 (0.839616) distintos= 327 (0.0224511)
one= 11773 (0.807642) five= 12038 (0.825821) ten= 12286 (0.842835) distintos= 315 (0.0216094)
one= 11740 (0.80455) five= 12008 (0.822917) ten= 12278 (0.84142) distintos= 305 (0.0209019)
one= 11740 (0.805213) five= 12020 (0.824417) ten= 12255 (0.840535) distintos= 332 (0.0227709)
one= 244 (0.693182) five= 261 (0.741477) ten= 275 (0.78125) distintos= 11 (0.03125)
one= 237 (0.686957) five= 253 (0.733333) ten= 273 (0.791304) distintos= 12 (0.0347826)
one= 244 (0.69914) five= 255 (0.730659) ten= 276 (0.790831) distintos= 13 (0.0372493)
one= 252 (0.715909) five= 261 (0.741477) ten= 276 (0.784091) distintos= 11 (0.03125)
one= 247 (0.691877) five= 261 (0.731092) ten= 280 (0.784314) distintos= 15 (0.0420168)
one= 243 (0.692308) five= 262 (0.746439) ten= 278 (0.792023) distintos= 11 (0.031339)
one= 244 (0.701149) five= 258 (0.741379) ten= 272 (0.781609) distintos= 11 (0.0316092)
one= 247 (0.705714) five= 262 (0.748571) ten= 276 (0.788571) distintos= 15 (0.0428571)
one= 243 (0.698276) five= 257 (0.738506) ten= 271 (0.778736) distintos= 13 (0.0373563)
one= 242 (0.695402) five= 257 (0.738506) ten= 274 (0.787356) distintos= 9 (0.0258621)
one= 0 (0) five= 1 (0.125) ten= 1 (0.125) distintos= 2 (0.25)
one= 0 (0) five= 0 (0) ten= 1 (0.142857) distintos= 2 (0.285714)
one= 0 (0) five= 0 (0) ten= 1 (0.125) distintos= 2 (0.25)
one= 0 (0) five= 0 (0) ten= 0 (0) distintos= 2 (0.25)
one= 0 (0) five= 1 (0.125) ten= 1 (0.125) distintos= 2 (0.25)
one= 0 (0) five= 1 (0.125) ten= 1 (0.125) distintos= 2 (0.25)
one= 0 (0) five= 0 (0) ten= 2 (0.25) distintos= 2 (0.25)
one= 0 (0) five= 0 (0) ten= 1 (0.125) distintos= 2 (0.25)
one= 0 (0) five= 1 (0.125) ten= 1 (0.125) distintos= 2 (0.25)
one= 0 (0) five= 1 (0.125) ten= 2 (0.25) distintos= 2 (0.25)
one= 23 (0.0790378) five= 41 (0.140893) ten= 52 (0.178694) distintos= 36 (0.123711)
one= 22 (0.0756014) five= 43 (0.147766) ten= 53 (0.182131) distintos= 40 (0.137457)
one= 21 (0.0729167) five= 37 (0.128472) ten= 48 (0.166667) distintos= 43 (0.149306)
one= 22 (0.0750853) five= 43 (0.146758) ten= 51 (0.174061) distintos= 35 (0.119454)
one= 19 (0.0646259) five= 38 (0.129252) ten= 47 (0.159864) distintos= 39 (0.132653)
one= 19 (0.0648464) five= 39 (0.133106) ten= 46 (0.156997) distintos= 39 (0.133106)
one= 20 (0.0682594) five= 40 (0.136519) ten= 51 (0.174061) distintos= 40 (0.136519)
one= 21 (0.0726644) five= 38 (0.131488) ten= 47 (0.16263) distintos= 40 (0.138408)
one= 22 (0.0748299) five= 40 (0.136054) ten= 50 (0.170068) distintos= 43 (0.146259)
one= 19 (0.0637584) five= 40 (0.134228) ten= 48 (0.161074) distintos= 40 (0.134228)
one= 1 (0.0217391) five= 2 (0.0434783) ten= 5 (0.108696) distintos= 7 (0.152174)
one= 1 (0.0227273) five= 3 (0.0681818) ten= 6 (0.136364) distintos= 5 (0.113636)
one= 1 (0.0217391) five= 2 (0.0434783) ten= 4 (0.0869565) distintos= 9 (0.195652)
one= 1 (0.0217391) five= 2 (0.0434783) ten= 5 (0.108696) distintos= 7 (0.152174)
one= 2 (0.0434783) five= 3 (0.0652174) ten= 6 (0.130435) distintos= 8 (0.173913)
one= 1 (0.0222222) five= 3 (0.0666667) ten= 6 (0.133333) distintos= 7 (0.155556)
one= 1 (0.0212766) five= 1 (0.0212766) ten= 3 (0.0638298) distintos= 7 (0.148936)
one= 5 (0.106383) five= 6 (0.12766) ten= 6 (0.12766) distintos= 7 (0.148936)
one= 1 (0.0227273) five= 1 (0.0227273) ten= 3 (0.0681818) distintos= 7 (0.159091)
one= 1 (0.0217391) five= 3 (0.0652174) ten= 5 (0.108696) distintos= 9 (0.195652)
one= 147 (0.620253) five= 153 (0.64557) ten= 162 (0.683544) distintos= 6 (0.0253165)
one= 142 (0.606838) five= 149 (0.636752) ten= 156 (0.666667) distintos= 6 (0.025641)
one= 150 (0.632911) five= 157 (0.662447) ten= 162 (0.683544) distintos= 5 (0.021097)
one= 148 (0.629787) five= 154 (0.655319) ten= 162 (0.689362) distintos= 7 (0.0297872)
one= 150 (0.641026) five= 157 (0.67094) ten= 160 (0.683761) distintos= 7 (0.0299145)
one= 148 (0.632479) five= 155 (0.662393) ten= 160 (0.683761) distintos= 5 (0.0213675)
one= 147 (0.615063) five= 156 (0.65272) ten= 165 (0.690377) distintos= 5 (0.0209205)
one= 145 (0.614407) five= 153 (0.648305) ten= 160 (0.677966) distintos= 5 (0.0211864)
one= 146 (0.62931) five= 154 (0.663793) ten= 162 (0.698276) distintos= 6 (0.0258621)
one= 146 (0.626609) five= 151 (0.648069) ten= 158 (0.678112) distintos= 6 (0.0257511)
one= 7392 (1) five= 7392 (1) ten= 7392 (1) distintos= 0 (0)
one= 7407 (0.999865) five= 7407 (0.999865) ten= 7407 (0.999865) distintos= 0 (0)
one= 7387 (1) five= 7387 (1) ten= 7387 (1) distintos= 0 (0)
one= 7395 (0.999865) five= 7395 (0.999865) ten= 7395 (0.999865) distintos= 0 (0)
one= 7399 (0.999865) five= 7399 (0.999865) ten= 7399 (0.999865) distintos= 0 (0)
one= 7382 (0.999865) five= 7382 (0.999865) ten= 7382 (0.999865) distintos= 0 (0)
one= 7402 (0.999865) five= 7402 (0.999865) ten= 7402 (0.999865) distintos= 0 (0)
one= 7375 (0.999864) five= 7375 (0.999864) ten= 7375 (0.999864) distintos= 0 (0)
one= 7382 (0.999729) five= 7382 (0.999729) ten= 7382 (0.999729) distintos= 0 (0)
one= 7383 (0.999865) five= 7383 (0.999865) ten= 7383 (0.999865) distintos= 0 (0)
one= 396 (0.918794) five= 403 (0.935035) ten= 405 (0.939675) distintos= 5 (0.0116009)
one= 402 (0.924138) five= 408 (0.937931) ten= 411 (0.944828) distintos= 5 (0.0114943)
one= 411 (0.927765) five= 417 (0.941309) ten= 419 (0.945824) distintos= 3 (0.00677201)
one= 409 (0.93379) five= 416 (0.949772) ten= 419 (0.956621) distintos= 3 (0.00684932)
one= 403 (0.937209) five= 409 (0.951163) ten= 410 (0.953488) distintos= 5 (0.0116279)
one= 406 (0.926941) five= 411 (0.938356) ten= 414 (0.945205) distintos= 3 (0.00684932)
one= 394 (0.916279) five= 402 (0.934884) ten= 404 (0.939535) distintos= 5 (0.0116279)
one= 398 (0.914943) five= 406 (0.933333) ten= 409 (0.94023) distintos= 3 (0.00689655)
one= 402 (0.917808) five= 406 (0.926941) ten= 412 (0.940639) distintos= 4 (0.00913242)
one= 397 (0.914747) five= 403 (0.928571) ten= 406 (0.935484) distintos= 5 (0.0115207)
one= 2 (0.142857) five= 4 (0.285714) ten= 4 (0.285714) distintos= 0 (0)
one= 2 (0.133333) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 2 (0.142857) five= 5 (0.357143) ten= 5 (0.357143) distintos= 0 (0)
one= 3 (0.2) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 3 (0.2) five= 5 (0.333333) ten= 6 (0.4) distintos= 0 (0)
one= 2 (0.133333) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 3 (0.2) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 3 (0.2) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 2 (0.142857) five= 5 (0.357143) ten= 5 (0.357143) distintos= 0 (0)
one= 3 (0.2) five= 4 (0.266667) ten= 5 (0.333333) distintos= 0 (0)
one= 11 (0.0287958) five= 28 (0.0732984) ten= 49 (0.128272) distintos= 36 (0.0942408)
one= 11 (0.0286458) five= 28 (0.0729167) ten= 43 (0.111979) distintos= 39 (0.101562)
one= 12 (0.0319149) five= 26 (0.0691489) ten= 44 (0.117021) distintos= 36 (0.0957447)
one= 10 (0.0261097) five= 27 (0.0704961) ten= 45 (0.117493) distintos= 38 (0.0992167)
one= 12 (0.03125) five= 26 (0.0677083) ten= 45 (0.117188) distintos= 33 (0.0859375)
one= 12 (0.0306122) five= 27 (0.0688776) ten= 46 (0.117347) distintos= 37 (0.0943878)
one= 11 (0.0294906) five= 30 (0.080429) ten= 46 (0.123324) distintos= 34 (0.0911528)
one= 11 (0.0290237) five= 28 (0.0738786) ten= 45 (0.118734) distintos= 35 (0.0923483)
one= 11 (0.0287958) five= 29 (0.0759162) ten= 44 (0.115183) distintos= 37 (0.0968586)
one= 11 (0.0293333) five= 26 (0.0693333) ten= 44 (0.117333) distintos= 34 (0.0906667)
one= 64 (0.182336) five= 98 (0.279202) ten= 127 (0.361823) distintos= 69 (0.196581)
one= 64 (0.177778) five= 98 (0.272222) ten= 128 (0.355556) distintos= 70 (0.194444)
one= 65 (0.181058) five= 95 (0.264624) ten= 125 (0.348189) distintos= 72 (0.200557)
one= 62 (0.174648) five= 93 (0.261972) ten= 122 (0.343662) distintos= 69 (0.194366)
one= 59 (0.167614) five= 91 (0.258523) ten= 123 (0.349432) distintos= 71 (0.201705)
one= 58 (0.164306) five= 93 (0.263456) ten= 126 (0.356941) distintos= 70 (0.1983)
one= 65 (0.183616) five= 98 (0.276836) ten= 126 (0.355932) distintos= 68 (0.19209)
one= 59 (0.17052) five= 95 (0.274566) ten= 123 (0.355491) distintos= 67 (0.193642)
