mayor= 0 (-nan) menor= 0 (-nan) igual= 0 (-nan)
mayor= 1 (0.5) menor= 0 (0) igual= 1 (0.5)
mayor= 1 (0.5) menor= 0 (0) igual= 1 (0.5)
mayor= 0 (0) menor= 0 (0) igual= 1 (1)
mayor= 0 (0) menor= 0 (0) igual= 1 (1)
mayor= 1 (0.5) menor= 0 (0) igual= 1 (0.5)
mayor= 0 (0) menor= 0 (0) igual= 1 (1)
mayor= 0 (0) menor= 0 (0) igual= 1 (1)
mayor= 0 (0) menor= 0 (0) igual= 1 (1)
mayor= 0 (0) menor= 0 (0) igual= 1 (1)
mayor= 2338 (0.160082) menor= 663 (0.0453954) igual= 11604 (0.794522)
mayor= 2363 (0.162372) menor= 675 (0.0463822) igual= 11515 (0.791246)
mayor= 2313 (0.158457) menor= 703 (0.0481606) igual= 11581 (0.793382)
mayor= 2304 (0.15796) menor= 671 (0.046003) igual= 11611 (0.796037)
mayor= 2325 (0.159717) menor= 664 (0.0456138) igual= 11568 (0.794669)
mayor= 2321 (0.159344) menor= 672 (0.0461348) igual= 11573 (0.794521)
mayor= 2331 (0.160041) menor= 668 (0.0458634) igual= 11566 (0.794095)
mayor= 2292 (0.157234) menor= 684 (0.0469232) igual= 11601 (0.795843)
mayor= 2336 (0.160088) menor= 682 (0.0467379) igual= 11574 (0.793174)
mayor= 2319 (0.159053) menor= 680 (0.0466392) igual= 11581 (0.794307)
mayor= 117 (0.332386) menor= 9 (0.0255682) igual= 226 (0.642045)
mayor= 109 (0.315942) menor= 15 (0.0434783) igual= 221 (0.64058)
mayor= 104 (0.297994) menor= 17 (0.0487106) igual= 228 (0.653295)
mayor= 101 (0.286932) menor= 15 (0.0426136) igual= 236 (0.670455)
mayor= 112 (0.313725) menor= 16 (0.0448179) igual= 229 (0.641457)
mayor= 105 (0.299145) menor= 16 (0.045584) igual= 230 (0.655271)
mayor= 104 (0.298851) menor= 16 (0.045977) igual= 228 (0.655172)
mayor= 108 (0.308571) menor= 13 (0.0371429) igual= 229 (0.654286)
mayor= 105 (0.301724) menor= 16 (0.045977) igual= 227 (0.652299)
mayor= 107 (0.307471) menor= 16 (0.045977) igual= 225 (0.646552)
mayor= 5 (0.625) menor= 3 (0.375) igual= 0 (0)
mayor= 4 (0.571429) menor= 3 (0.428571) igual= 0 (0)
mayor= 5 (0.625) menor= 3 (0.375) igual= 0 (0)
mayor= 4 (0.5) menor= 4 (0.5) igual= 0 (0)
mayor= 5 (0.625) menor= 3 (0.375) igual= 0 (0)
mayor= 6 (0.75) menor= 2 (0.25) igual= 0 (0)
mayor= 5 (0.625) menor= 3 (0.375) igual= 0 (0)
mayor= 4 (0.5) menor= 4 (0.5) igual= 0 (0)
mayor= 6 (0.75) menor= 2 (0.25) igual= 0 (0)
mayor= 5 (0.625) menor= 3 (0.375) igual= 0 (0)
mayor= 275 (0.945017) menor= 5 (0.0171821) igual= 11 (0.0378007)
mayor= 273 (0.938144) menor= 7 (0.024055) igual= 11 (0.0378007)
mayor= 271 (0.940972) menor= 7 (0.0243056) igual= 10 (0.0347222)
mayor= 275 (0.938567) menor= 6 (0.0204778) igual= 12 (0.0409556)
mayor= 280 (0.952381) menor= 4 (0.0136054) igual= 10 (0.0340136)
mayor= 277 (0.945392) menor= 7 (0.0238908) igual= 9 (0.0307167)
mayor= 275 (0.938567) menor= 7 (0.0238908) igual= 11 (0.0375427)
mayor= 275 (0.951557) menor= 5 (0.017301) igual= 9 (0.0311419)
mayor= 274 (0.931973) menor= 6 (0.0204082) igual= 14 (0.047619)
mayor= 286 (0.959732) menor= 4 (0.0134228) igual= 8 (0.0268456)
mayor= 39 (0.847826) menor= 6 (0.130435) igual= 1 (0.0217391)
mayor= 37 (0.840909) menor= 6 (0.136364) igual= 1 (0.0227273)
mayor= 37 (0.804348) menor= 8 (0.173913) igual= 1 (0.0217391)
mayor= 38 (0.826087) menor= 7 (0.152174) igual= 1 (0.0217391)
mayor= 38 (0.826087) menor= 6 (0.130435) igual= 2 (0.0434783)
mayor= 40 (0.888889) menor= 4 (0.0888889) igual= 1 (0.0222222)
mayor= 41 (0.87234) menor= 5 (0.106383) igual= 1 (0.0212766)
mayor= 35 (0.744681) menor= 7 (0.148936) igual= 5 (0.106383)
mayor= 34 (0.772727) menor= 9 (0.204545) igual= 1 (0.0227273)
mayor= 38 (0.826087) menor= 7 (0.152174) igual= 1 (0.0217391)
mayor= 90 (0.379747) menor= 2 (0.00843882) igual= 145 (0.611814)
mayor= 90 (0.384615) menor= 3 (0.0128205) igual= 141 (0.602564)
mayor= 87 (0.367089) menor= 3 (0.0126582) igual= 147 (0.620253)
mayor= 87 (0.370213) menor= 3 (0.012766) igual= 145 (0.617021)
mayor= 83 (0.354701) menor= 4 (0.017094) igual= 147 (0.628205)
mayor= 88 (0.376068) menor= 1 (0.0042735) igual= 145 (0.619658)
mayor= 95 (0.39749) menor= 2 (0.0083682) igual= 142 (0.594142)
mayor= 91 (0.385593) menor= 2 (0.00847458) igual= 143 (0.605932)
mayor= 86 (0.37069) menor= 2 (0.00862069) igual= 144 (0.62069)
mayor= 86 (0.369099) menor= 3 (0.0128755) igual= 144 (0.618026)
mayor= 0 (0) menor= 0 (0) igual= 7392 (1)
mayor= 1 (0.000134989) menor= 0 (0) igual= 7407 (0.999865)
mayor= 0 (0) menor= 0 (0) igual= 7387 (1)
mayor= 1 (0.000135208) menor= 0 (0) igual= 7395 (0.999865)
mayor= 1 (0.000135135) menor= 0 (0) igual= 7399 (0.999865)
mayor= 1 (0.000135446) menor= 0 (0) igual= 7382 (0.999865)
mayor= 1 (0.00013508) menor= 0 (0) igual= 7402 (0.999865)
mayor= 1 (0.000135575) menor= 0 (0) igual= 7375 (0.999864)
mayor= 2 (0.000270856) menor= 0 (0) igual= 7382 (0.999729)
mayor= 1 (0.000135428) menor= 0 (0) igual= 7383 (0.999865)
mayor= 39 (0.0904872) menor= 7 (0.0162413) igual= 385 (0.893271)
mayor= 33 (0.0758621) menor= 9 (0.0206897) igual= 393 (0.903448)
mayor= 34 (0.0767494) menor= 6 (0.013544) igual= 403 (0.909707)
mayor= 30 (0.0684932) menor= 7 (0.0159817) igual= 401 (0.915525)
mayor= 28 (0.0651163) menor= 8 (0.0186047) igual= 394 (0.916279)
mayor= 36 (0.0821918) menor= 4 (0.00913242) igual= 398 (0.908676)
mayor= 36 (0.0837209) menor= 8 (0.0186047) igual= 386 (0.897674)
mayor= 38 (0.0873563) menor= 8 (0.0183908) igual= 389 (0.894253)
mayor= 36 (0.0821918) menor= 7 (0.0159817) igual= 395 (0.901826)
mayor= 37 (0.0852535) menor= 8 (0.0184332) igual= 389 (0.896313)
mayor= 12 (0.857143) menor= 1 (0.0714286) igual= 1 (0.0714286)
mayor= 14 (0.933333) menor= 0 (0) igual= 1 (0.0666667)
mayor= 12 (0.857143) menor= 1 (0.0714286) igual= 1 (0.0714286)
mayor= 13 (0.866667) menor= 1 (0.0666667) igual= 1 (0.0666667)
mayor= 13 (0.866667) menor= 1 (0.0666667) igual= 1 (0.0666667)
mayor= 13 (0.866667) menor= 1 (0.0666667) igual= 1 (0.0666667)
mayor= 13 (0.866667) menor= 1 (0.0666667) igual= 1 (0.0666667)
mayor= 13 (0.866667) menor= 1 (0.0666667) igual= 1 (0.0666667)
mayor= 12 (0.857143) menor= 1 (0.0714286) igual= 1 (0.0714286)
mayor= 13 (0.866667) menor= 1 (0.0666667) igual= 1 (0.0666667)
mayor= 380 (0.994764) menor= 2 (0.0052356) igual= 0 (0)
mayor= 380 (0.989583) menor= 4 (0.0104167) igual= 0 (0)
mayor= 373 (0.992021) menor= 3 (0.00797872) igual= 0 (0)
mayor= 382 (0.997389) menor= 1 (0.00261097) igual= 0 (0)
mayor= 382 (0.994792) menor= 2 (0.00520833) igual= 0 (0)
mayor= 390 (0.994898) menor= 2 (0.00510204) igual= 0 (0)
mayor= 371 (0.994638) menor= 2 (0.00536193) igual= 0 (0)
mayor= 377 (0.994723) menor= 2 (0.00527704) igual= 0 (0)
mayor= 381 (0.997382) menor= 1 (0.0026178) igual= 0 (0)
mayor= 373 (0.994667) menor= 2 (0.00533333) igual= 0 (0)
mayor= 285 (0.811966) menor= 44 (0.125356) igual= 22 (0.0626781)
mayor= 301 (0.836111) menor= 39 (0.108333) igual= 20 (0.0555556)
